codigo;nombre
Px-393;HORMIGONES MUELLE LIRQUEN – CONFECCIONADOS EN U. CONCEPCION
Px-394;COMPARACION ADITIVO WRDA-PX DE VIÑA DEL MAR v/s WRDA-PX Y P-121
Px-395;HORMIGONES CON ADICION DE FILLER POLVO DE ROCA PRESEC
Px-396;HORMIGONES DE RESISTENCIAS  MENORES A H20 CON EMPLEO DE FLY ASH A IGUALDAD DE COSTO
Px-397;MORTEROS SECOS -  MEDICION  DE RETENDIDAD (ARIDOS IQUIQUE , PRESEC)
Px-398;HORMIGON COLOREADO PLANTA LA LIGUA
Px-399;HORMIGON DE PRUEBA POLLOS ARIZTIA PRODUCTO HB20.0(90)13/10A
Px-400;HORMIGON HF4,8(90)40/08 PARA AEROPUERTO – USO CEMENTO CORRIENTE
Px-401;HORMIGON CON RESISTENCIA 400 Kgf/cm2 A EDAD DE 5 DIAS
Px-402;EFECTO INCORPORADOR DE AIRE HOSTACRETE COMBINADO CON DIVERSOS ADITIVOS REDUCTORES DE AGUA: P-121 , WRDA-PX y VZ-020
Px-403;HORMIGONES CON ADICION DE FILLER POLVO DE ROCA FRESNO (READY MIX)
Px-404;HORMIGONES CON ARENA CORRECTORA RUFINA AZOCAR – PARA QUILICURA Y FLORIDA
Px-405;EXUDACION
Px-406;HORMIGON  DE COLOR NEGRO CONST. KOPPMAN ( HC22.5(80)20-08 1N )
Px-407;HORMIGONES CON ARENA CORRECTORA PORVENIR – PLANTA FLORIDA
Px-408;HORMIGONES ALTA RESISTENCIA TIPO GR PLANTA VIÑA DEL MAR.
Px-409;HORMIGON CON ARIDO CANTO RODADO A LA VISTA
Px-410;DESARROLLO DE RESISTENCIAS EDAD TEMPRANA (MENOR A 24 hrs) CEMENTO MELON PREMIX Y EXTRA – HORMIGON TIPO H35
Px-411;MORTEROS Y PEGAMIXCERAMICO CON ARENA INDUSTRIAL 3mm BUIN-2 v/s ARI-2 y LOS BOQUETES (CASAS VIEJAS) + PRUEBAS CON OTROS ADITIVOS
Px-412;CONTRASTACION HORMIGON PLANTA RANCAGUA – RETARDO HORMIGON PAVIMENTO
Px-413;PAVIMENTO COLOR VERDE PLANTA RANCAGUA HP30.0(80)20/05
Px-414;MORTERO M30(90)10/F PARA PUERTO MONTT
Px-415;COMPARACION POLVO DE ROCA FRESNO-SERVINOR v/s PRESEC.
Px-416;HORMIGONES CON ARIDOS HARSEIM (LA CANTERA) v/s STA LAURA.
Px-417;CONTRASTACION  PRENSAS LAJA DIGUILLIN – U. DE CONCEPCION – PREMIX ESPEJO
Px-418;HORMIGON DE PRUEBA CENTRAL CHACABUQUITO
Px-419;HORMIGONES CON ARIDOS TRANSEX (100%) v/s ARI-2 (con arena correctora Porvenir)
Px-420;COMPARACION ARIDOS PLANTAS REGION METROPOLITANA : STA. LAURA , ARI-2, SOMINCA y MEGARIDOS BUIN
Px-421;EFECTO ARENA CORRECTORA ARI2 RODADA EN HORMIGONES CON ARIDOS STA LAURA DE PLANTA ESPEJO
Px-422;COMPARACION MICROSILICA EN HORMIGON GR500(90)20/10MS PARA PRETESA
Px-423;PRUEBAS GRAVILLAS PLANTA BESALCO v/s ARIDOS PLANTA QUILICURA
Px-424;RESISTENCIA A 12 HORAS – COMPARACION DE LA  DOSIS Y TIPO DE CEMENTO
Px-425;EFECTO DEL REEMPLAZO DE POLVO DE ROCA PRESEC EN HORMIGONES 4 SACOS
Px-426;EXPERIENCIA DURACION TRABAJABILIDAD HORMIGON HN50.0(90)20/06-02 MINERA ANDINA
Px-427;EFECTO DE LA ARENA SANTA LAURA EN LA RESISTENCIA DEL HORMIGON – COMPARACION CON ARENA BUIN-1
Px-428;HORMIGON PRODUCTO FBO.42(80)20/10 – ESTUDIO RETARDO FRAGUADO CON  ADITIVO WRDA-PX
Px-429;HORMIGONES DE PRUEBA PLANTA CURACAVI – ARIDOS SACYR
Px-430;ADITIVOS ULMEN PReA-1 , Pr-2 v/s P-121, VZ-020 y WRDA-PX
Px-431;HORMIGONES CONFECCIONADOS EN PROYECTO LOS PELAMBRES
Px-432;HORMIGONES TIPO H20 A 24 hrs – PLANTA VIÑA DEL MAR
Px-433;HORMIGONES PARA LAJA-DIGUILLIN CON  ARIDOS MAQVAL (Conf. En Concepción)
Px-434;HORMIGONES TIPO HF4,6(90)40/06-90 PARA CONCEPCION (Conf. EN Concepción)
Px-435;HORMIGONES CON ARENA CORRECTORA PORVENIR – PLANTA QUILICURA (MEGARIDOS)
Px-436;HORMIGONES CON ARENA CORRECTORA PORVENIR – PLANTA ESPEJO (STA. LAURA)
Px-437;MORTERO MR30.0(90)10/8N ARIDOS SANTA LAURA PLANTA ESPEJO
Px-438;HORMIGON HB25(95)20/08 PARA APF ANTUPIREN USO DE ADITIVO SIKAMENT FF-86 EN REEMPLAZO DE P-121
Px-439;HORMIGON COLOR MADERA  (C. JIMENEZ)
Px-440;HORMIGON CON CARBONATO SOPROCAL 
Px-441;HORMIGON DE PRUEBA COLOR BLANCO – DIOXIDO DE TITANIO HB20.0(90)20/10BL
Px-442;HORMIGONES CON POLVO DE ROCA PRÉSEC TIPO FILTRO DE MANGA Y CICLON
Px-443;HORMIGON TIPO GR25.0(90)40/06-050 03 A PARA SUCURSAL ANTOFAGASTA
Px-444;ESTUDIO RETARDO FRAGUADO PRODUCTO HB25.0(90)13/F PLANTA FLORIDA – COMBINACION ADITIVOS WRDA-PX + R-1000.
Px-445;VALIDACION HORMIGONES PRETESA PRODUCTOS  GR40.0(90)20/10 Y GR50.0(90)20/10DM480  GR40.0(90)40/10
Px-446;TIEMPOS DE FRAGUADO CEMENTO POLPAICO ESPECIAL (SACOS) CON DIVERSOS ADITIVOS (P-121, WRDA-PX Y VZ-020)
Px-447;HORMIGONES ALTA RESISTENCIA TIPO H40 A 5 DIAS
Px-448;COMPARACION ADITIVOS SUPERPLASTIFICANTES EP-2300 R-100 R-716 Y R-877
Px-449;MORTEROS POR RESISTENCIA REGION METROPOLITANA CEMENTO MELON PREMIX y EXTRA
Px-450;HORMIGONES PLANTA VIÑA DEL MAR – OBRA JUMBO EASY
Px-451;CONTRASTACION DE PRENSAS  ANTOFAGASTA v/s SANTIAGO
Px-452;HORMIGON CELULAR HCL-COMPARACION DE PROPIEDADES CON USO DE STABILMAC
Px-453;HORMIGON CON RETARDO DE FRAGUADO DE 04 HORAS 
Px-454;COMPATIBILIDAD DE CEMENTO POLPAICO ESPECIAL CON DIVERSOS ADITIVOS: P-121, WRDA-PX, VZ-020, EP-2300 y R-1000
Px-455;COMPARACION HORMIGONES CON CEMENTO POLPAICO ESPECIAL v/s MELON PREMIX
Px-456;PRUEBA MORTEROS MD PLANTA LA LIGUA
Px-457;HORMIGONES HN35.0(95)40/08 SENEXCO OBRA HOME DEPOT
Px-458;COMPARACION ADITIVOS SUPERPILASTIFICANTES R-1000 y EP-2300 CON MELON EXTRA
PX-459;HORMIGON COLOR TAMAÑO 13 mm CONSTRUCTORA SOCOVALLE
Px-460;HORMIGONES CON IMPERMEABILZANTE SIKA-1
Px-461;HORMIGON HN30(90)20/F BE CON ALTA RESISTENCIA INICIAL (150 kgf/cm2 A 36 hrs) OBRA QUINTA VERGARA , CLIENTE BESALCO , PTA. VIÑA 
Px-462;ANALISIS DE SENSIBILIDAD DOSIS ADITIVO GRACE WRDA-PX v/s P-121 Y VZ-020
Px-463;HORMIGONES CON IMPERMEABILZANTE XYPEX – MEDICION PERMEABILIDAD DIN 1048
Px-464;ADITIVO DARATARD-3 (GRACE) v/s P-121 , WRDA-PX y VZ-020
Px-465;HORMIGON MUY ALTA RESISTENCIA TIPO HN80 – ARIDOS RM Y RALCO
Px-466;INVESTIGACION PRODUCTO RDC
Px-467;NUEVO CEMENTO MELON PREMIX (RETARDADO)  y EXTRA  – DIVERSOS ADITIVOS : P-121 , WRDA-PX , VZ-020 , ULPR-2  - COMBINACIONES CON SUPERPLASTIFICANTES EP-2300 y R-1000
Px-468;MEZCLA DE PRUEBA SHOTCRETE CBA
Px-469;ESTUDIO HORMIGONES CON RESISTENCIA A FLEXOTRACCION
Px-470;HORMIGON DE PRUEBA NUEVO CEMENTO BLANCO
Px-471;HORMIGONES IMPERMEABLES CASA  KRAUSS – SIN REDUCTOR CON AIREANTE Y SUPERPLASTIFICANTE
Px-472;HORMIGONES CON SOBREDOSIS DE ADITIVO REDUCTOR P-121
Px-473;COMPARACION ADITIVOS PLANTA ANTOFAGASTA
Px-474;MORTEROS CON CEMENTO EXTRA E INCORPORACION DE AIRE
Px-475;ESTUDIO ARIDOS MAIPU S.A. – POSIBLE USO EN PLANTA QUILICURA
Px-476;DESARROLLO DE RESISTENCIAS A 1 AÑO (MELON PREMIX Y EXTRA)
Px-477;COMPARACION HORMIGONES CON ARIDOS SANTA GLORIA v/s MEGARIDOS (PTA. QUILICURA)  y ARI-2  (PTA. FLORIDA)
Px-478;DESARROLLO DE TEMPERATURA EN CONDICIONES ADIABATICAS CEMENTO MELON PREMIX Y EXTRA
Px-479;HORMIGON FLEXOTRACCION HF6,0(80)40/05-90 PLANTA VIÑA DEL MAR – CONTRASTACION LABORATORIOS VIÑA DEL MAR
Px-480;SHOTCRETE FERROVIAL METRO SANTA ANA – CUMMING  SH300(90)10/H FA-M  y VIA SECA
Px-481;EFECTO DE LA ARENA CORRECTORA PORVENIR EN HORMIGONES CON ARIDOS ST. LAURA
Px-482;COMPARACION DE ADITIVOS INCORPORADORES DE AIRE HOSTACRETE Y MICRO – AIR.
Px-483;HORMIGONES CON ADICION DE FIILLER CARBONATO DE CALCIO SOPROCAL.
Px-484;COMPARACION ADITIVOS WRDA-PX v/s P-121, SENSIBILIDAD DOSIS, EDAD TEMPRANA Y TIEMPOS DE FRAGUADO
Px-485;COMPARACION HORMIGONES ARIDOS MEGARIDOS CONCON (VIÑA) v/s SANTA LAURA (ESPEJO) Y ARI-2 (FLORIDA)
Px-486;SHOTCRETE METRO SH30(95)10/H SAC, EMPLEO DE ESTABILIZADOR DELVO, RETARDO 4hr
Px-487;EFECTO DEL CURADO DE PROBETAS EN LA RESISTENCIA MECANICA DEL HORMIGON
Px-488;COMPARACION ADITIVOS IMPERMEABILIZANTES SIKA-1 v/s RHEOMIX-301 Y ULMEN-1
PX-489;COMPARACION ADITIVOS REDUCTORES P-121, P-121R, P-121R-2,P-121R-3, WRDA-PX, WRDA-5, DARATARD-PX1, DARATARD-PX2, ULMEN PR-2 , ULMEN PreA-1y VZ-020 (perdida de cono)
Px-490;HORMIGONES DE PRUEBA – MEDICION ENSAYES ESPECIALES (CASAS DE HORMIGON) – TAMAÑO MAXIMO 13mm FLUIDO Y AUTOCOMPACTANTE
Px-491;HORMIGONES PARA AREA COMERCIAL – EFECTOS DEL CURADO , TIPO PROBETA, - RESISTENCIAS A EDAD DE 1 AÑO
Px-492;HORMIGONES COLOR ARENA HC25.0(90)20-08BL
Px-493;HORMIGON BOMBEADO FLUIDO HB15(90)20/F CON FILLER POLVO DE ROCA PRESEC 
Px-494;HORMIGONES CON ARIDOS PTA. ACONCAGUA PETREOS v/s MEGARIDOS CONCON
Px-495;HORMIGON FLUIDO HB20.0(90)20/18 PARA VIVIENDAS EN PUERTO MONTT
Px-496;HORMIGON COLOREADO AZUL PARA PUERTO MONTT HC25(90)20/05 PIIGMENTOS BAYER
Px-497;HORMIGONES CON ARIDOS ARI-2 CON DIVERSAS ARENAS CORRECTORAS: PORVENIR – RUFINA AZOCAR – MELOCOTON  (JUAN SOLIS) – LA OBRA (CATALAN)
Px-498;SUELO CEMENTO BELFI – PLANTA SAN ANTONIO
Px-499;HORMIGON GRAVILLA A LA VISTA HN25.0(90)20/08
Px-500;EFECTO DEL CONTENIDO DE ARENA (T4) EN RESISTENCIA MECANICA DEL HORMIGON
Px-501;HORMIGON FLEXOTRACCION HF049804003 Y HF050804003
Px-502;HORMIGON TIPO HB45(90) ARIDOS ARI-2  y SANTA LAURA
Px-503; CHEQUEO CEMENTOS PLANTAS PREMIX – HB20.0(90)20/10
Px-504;HORMIGON DE COLOR CASA JORGE GOLES CONST. TRANCURA HN20.0(90)20/10
Px-505;HORMIGONES DE PRUEBA PARA CERTIFICACION CLIENTE CONST. INTERNACIONAL OBRA METRO TRAMO R-1 ESTACION QUINTA NORMAL (DESP. QUILICURA – ARIDOS ARI-2)
Px-506;COMPARACION SUPERPLASTIFICANTES: DARACEM-100, DARACEM-101, DARACEM-109, SPN, R-1000, R-716, SIKAMENT-592 y R-3000FC – PERDIDA DE CONO
Px-507;HORMIGONES COLOREADOS – CATALOGO PREMIX
Px-508;COMPARACION DE RESISTENCIAS A FLEXOTRACCION PROBETAS CURADAS EN CAMARA HUMEDA v/s PISCINA DE CURADO.
Px-509;HORMIGON DE PRUEBA PAVIMENTOS COMBARBALA
Px-510;H.  AUTOCOMPACTANTE  - H. NORMAL Y ALTA RESISTENCIA CON  ADITIVOS  LAFARGE : CHRYSO YY-21, CHRYSO YY-22, CHRYSO OPTIMA-200, CHRYSO PREMIA-100 y CHRYSOFLUID CE40
Px-511;COMPARACION CEMENTOS NACIONALES
Px-512;HORMIGONES CON ARENA ST. LAURA v/s ARENA ST. LAURA CORTADA EN MALLA 4
Px-513;HORMIGON ESTANQUE LA CRUZ QUILLOTA, HB30 A/C=0,45, RETRACCION, PERMEABILIDAD, COMPRESION  FLEXOTRACCION , ARIDOS MEGARIDOS VIÑA DEL MAR
Px-514;HORMIGON  DE COLOR CATALOGO PREMIX
Px-515;COMPARACION ARIDOS SAN JUAN  v/s  LA ESTRELLA
Px-516;MORTEROS CON BAJAS DOSIS DE CEMENTO – LOSAMIX 1 y 2 – RESISTENCIA AL DESGASTE
Px-517;HORMIGONES POBRES TIPO HN050 CON CONOS ALTOS – USO FILLER
Px-518;ARENA BIOBIO MOLIENDA PRIMARIA
Px-519;HORMIGONES PARA RALCO
Px-520;HORMIGONES OSORNO – COMPARACION GRAVAS DOWLING Y SOCOVESA (Conf. Osorno)
Px-521;CEMENTO BIOBIO TENO – USO DISTINTOS ADITIVOS – PERDIDA CONO
Px-522;PRUEBAS HORMIGON FLUIDO Y PEGAMIX CERAMICO
Px-523;HORMIGONES DE PRUEBA CON ARIDOS RIO MAPOCHO (aridos 63 mm)
Px-524;HORMIGON COLOR IMITACION LADRILLO
Px-525;HORMIGONES PROYECTO  MIX DESIGN (MEJORA DE ARIDOS)
Px-526;COMPARACION A EDAD TEMPRANA DE CEMENTOS MELON PREMIX ESPEJO v/s MELON PREMIX CON 50 % DE CLINQUER IMPORTADO y MELON EXTRA v/s MELON EXTRA CON 25% CLINQUER IMPORTADO
Px-527;COMPARACION ARENAS TIL-TIL MEGARIDOS v/s ARENAS PLANTA ESPEJO
Px-528;RDC – MATERIAL RELAVE LOS PELAMBRES
Px-529;COMPARACION DIVERSOS CEMENTOS NACIONALES  E IMPORTADOS
Px-530;SHOTCRETE METRO SACYR – ADITIVO GLENIUM TC1301 – ESTABILIZADO POR 12 HORAS ACELERANTE MEYCO 160 SA
Px-531;EFECTO EN ARENA ARI2 CHANCADA POR REEMPLAZO DE ARENA CORRECTORA C. TAPIA
Px-532;MORTERO Y HORMIGON CON FIBRAS DE POLYOLEFIN DE 3M
Px-533;HORMIGON DE PRUEBA VIÑA DEL MAR – ESTANQUE DE AGUA LA CALERA
Px-534;ADITIVO POLYHEED 710R v/s POZZOLITH 121 Y ULMEN PR-2
Px-535;MORTERO MR40.0(90)10/8N PARA COSTANERA NORTE
Px-536;HORMIGON CON FIBRAS DE POLIPROPILENO FIBERMESH (HIDRAGUA) – GRACE – FITESA y FIBRAS DE VIDRIO Cem-Fill
Px-537;HORMIGONES PARA FLEXOTRACCION PLANTA IQUIQUE
Px-538;HORMIGONES PARA PRETESA GB500 Y GB400 CON 02 HORAS DE TIEMPO DE VIAJE
Px-539;COMPARACION ARIDOS FE GRANDE MANQUE V/S PEVEC
Px-540;EFECTO DEL REVIBRADO EN LA RESISTENCIA MECANICA DEL HORMIGON
Px-541;DENCRET FILTRO – MEDICION DE CAPILARIDAD
Px-542;HORMIGONES CON ARIDOS PEVEC - ILLAPEL
Px-543;HORMIGONES CON ADITIVO EXPANSOR INTRAPLAST
Px-544;ADITIVOS PROVEQUIM : PROPLASTIC-200, PROPLASTIC-100, PROPLASTIC-100R, PROPLASTIC 100R/S, PROPLASTIC M-1, PRO-SUPERPLASTIC v/s P-121 Y PR-2 – MASSAPLAST 260  Y AR (JAIME JERALDINO)
Px-545;COSTRASTACION DE PRENSAS PLANTA YUNGAY v/s LABORATORIO ESPEJO
Px-546;EFECTO DE LA ARENA CORRECTORA CARLOS TAPIA EN HORMIGONES CON ARIDOS SANTA LAURA
Px-547;ESTUDIO UTILIZACION ARENA RUBIA LAMPA
Px-548;MEZCLAS DE PRUEBA ARENA SANTA LAURA CORTADA BAJO MALLA N°4
Px-549;HORMIGONES CON ARENA RUBIA BEZANILLA DE VIÑA DEL MAR
Px-550;HORMIGONES DE PRUEBA CON PROARIDOS TIL-TIL PLANTA QUILICURA
Px-551;HORMIGON DESLIZANTE PLANTA CONCEPCION
Px-552;EMPLEO ARENA CORRECTORA ISLA LOS BOQUETES CON ARENA SANTA LAURA COMPARACION CON CARLOS TAPIA
Px-553;ADITIVOS GRACE: WRDA-PX-2 ,   WRDA-PX-3 , DARATARD-23 , DARATARD-21M,  WRDA-PX v/s  P-121 Y PR-2 – PROPLASTIC 100RS y P-121-R3 – ENSAYOS  A 12 HORAS – PERDIDA CONO
Px-554;HORMIGON CELULAR LIVIANO DISTINTOS ADITIVOS GENERADORES DE ESPUMA
Px-555;COMPARACIÓN  POLPAICO, BIO BIO TENO, PREMIX: SENSIBILIDAD  ADITIVO P-121, ULMEN PR-2 (PERDIDA DE CONO, PENETRACIONES)
Px-556;HORMIGONES TAMAÑO MAXIMO 13 mm TIPO HB
Px-557;MEDICION RESISTENCIA A EDADES TEMPRANAS < 24 HRS CEMENTO PREMIX Y EXTRA
Px-558;MORTERO ACRILICO-PEGA BOLONES-COSTANERAN NORTE-TRAMO PUENTE SAN FRANCISCO
Px-559;COMPARACION CEMENTOS FONDU LAFARGE PLANTA ANDINA
Px-560;HORMIGON FLUIDO – USO ADITIVO GLENIUM TC-1301
Px-561;INVESTIGACION EFECTO DEL TIPO Y DOSIS DE ACELERANTE EN LA PERDIDA DE RESISTENCIA A COMPRESION EN SHOTCRETE
Px-562;INVESTIGACION COMPARACION SHOTCRETE ESBILIZADOS MBT v/s SIKA
Px-563;HORMIGONES FLUIDOS CON ADITIVO BASE (REDUCTOR) WRDA-PX  DE GRACE
Px-564;COMPARACION DEL EFECTO DE ARIDOS REGION METROPOLITANA EN LAS RESISTENCIAS A COMPRESION
Px-565;HORMIGONES ALTA RESISTENCIA CON GRAVILLA 13 mm (PINDONGOS)
Px-566;HORMIGONES LIVIANOS ALTA RESISTENCIA
Px-567;HORMIGON HN50(90)20/10 – RESISTENCIA PROBETAS CUBICAS Y CILINDRICAS
Px-568;ESTUDIO RDC CON CEMENTO POLPAICO ESPECIAL
Px-569;MORTEROS MR40, MR35, MR30 y MR25 PARA SHOTCRETE
Px-570;COMPARACION ARIDOS CONOVIA v/s MEGARIDOS CONCON PLANTA VIÑA DEL MAR
Px-571;PAVIMENTOS POROSOS
Px-572;COMPARACION GRAVILLA MANQUE v/s MARTA OLIVARES
Px-573;HORMIGON PARA VIGAS GR375 A 3 DIAS, USO DE GLENIUM C330
Px-574;EXPERIENCIA HN425 A 3 DIAS
Px-575;HORMIGONES FLUIDOS RESISTENCIAS  ALTAS  A 28 DIAS CON  BAJO CONTENIDO DE CEMENTO
Px-576;COMPARACION DE ADITIVOS REDUCTORES DE AGUA DE USO FRECUENTE PRODUCTO HN30(90)40/06 ARIDOS PLANTA ESPEJO
Px-577;HORMIGONES DE PRUEBA PLANTA CANELA
Px-578;HORMIGON HN25(90)20/06 CON MENOR RELACION A/C Y USO DE SUPERPLASTIFICANTE – PARA MENDES JUNIOR – ZANJON AGUADA
Px-579;MEJORAMIENTO DE ÁRIDOS PROARIDOS
Px-580;HORMIGON ALTERNATIVO A  HB15.0(80)13/15
Px-581;SENSIBILIDAD ADITIVOS P-121 Y WRDA-PX EN HORMIGONES
Px-582;COMPARACION CEMENTO PORTLAND M-1 , v/s MELON PREMIX Y EXTRA
Px-583;INVESTIGACION ASCENCION CAPILAR E IMPERMEABILIDAD
Px-584;DETERMINACION DE LA ABSORCION DEL HORMIGON ENDURECIDO SEGUN ASTM C 642-97
Px-585;HORMIGON DE PRUEBA  BE350(90)40/10-03
Px-586;CONTRASTACION LABORATORIOS PUERTO MONTT : HORMITEC v/s INGECONTROL + MEGACONTROL (OSORNO)
Px-587;HORMIGON DE PRUEBA  HF4.5 RK REPARACIONES PISTA  AEROPUERTO  AMB
Px-588;HORMIGON AUTOCOMPACTANTE   AC 35.0(90)10
Px-589;MORTERO SOBRELOSA FLUIDO
Px-590;DISEÑO HORMIGONES DE PRUEBA MEMORIA CIRO LOPEZ  RELACION DENSIDAD  v/s RESISTENCIA
Px-591;HORMIGONES A TEMPRANA EDAD y/o ALTA RESISTENCIA – EFECTO DEL MOMENTO EN QUE SE AÑADE EL ADITIVO SUPERPLASTIFICANTE
Px-592;AUTOHORMIGONERA VI  REGION – ARIDOS APALTA
Px-593;HORMIGONES EXPERIENCIAS ALUMNOS DE ARQUITECTURA : COLOR – TAMAÑO MAXIMO ARIDO VARIABLE – CONTENIDO ARENA 
Px-594;PRUEBA MORTERO DE COLOR PLANTA LA SERENA   MC1.3(00)108N y L , D30.
Px-595;HORMIGON DE PRUEBA ARIDOS ALTERNATIVOS PLANTA LA SERENA 
Px-596;FAST TRACK EN PUERTO MONTT – RESISTENCIA FLEXOTRACCION Y COMPRESION 
Px-597;HORMIGONES TIERRA ARMADA – RESISTENCIAS A 12 HORAS
Px-598;FAST TRACK  y  HF5.0RMEDIA - EFECTO CONTENIDO DE ARENA EN RESISTENCIA FLEXION
Px-599;COMPARACION ARIDOS PUERTO MONTT : GUIDO KLEIN (PETROMIN) v/s SOCOVESA (POZO LA VARA)
Px-600;HORMIGON DE PRUEBA ARIDOS TRAMAQ – ALTERNATIVOS A TRICAM.
Px-601;HORMIGONES DE PRUEBA PLANTA SALAMANCA.
Px-602;SHOTCCRETE CONTEX OBRA DISPUTADA DE LAS CONDES
Px-603;INVESTIGACION RDC – MEDICION DE CBR A EDAD TEMPRANA
Px-604;MORTEROS CON RETRACCION COMPENSADA
Px-605;HORMIGON AUTOCOMPACTANTE – COMPARACION DE ADITIVOS
Px-606;HORMIGON CELULAR LIVIANO – DISTINTAS ARENAS
Px-607;HORMIGON AUTOCOMPACTANTE PLANTA IQUIQUE
Px-608;HORMIGON AUTOCOMPACTANTE TUNEL EMISARIO LA FARFANA
Px-609;HORMIGONES CON NUEVOS ADITIVOS REDUCTORES DE AGUA
Px-610;EFECTO DE LA COMBINACION GRAVA-GRAVILLA EN LA RESISTENCIA A COMPRESION Y FLEXOTRACCION
Px-611;PRODUCTOS VAP PLANTA CONCEPCION
Px-612;HORMIGONES H35 A LA EDAD DE 3 DIAS – ARIDOS CALIZOS PLANTA QUILICURA
PX-613;HORMIGON CON TIEMPO DE VIAJE (RETARDO ) 8 HORAS Y 4 HORAS
Px-614;COMPARACION HORMIGONES CON ARIDIDOS : AGUA SANTA – ARI2 Y RINCON (MEGARIDOS BUIN-3) , COMBINACIONES GRAVA Y GRAVILLA
Px-615;COMPARACION ADITIVOS SUPERPLASTIFICANTES : R-1000, R-877, SPN, SPER, PRO SUPERPLASTIC
Px-616;EFECTO ADITIVO POLYHEED 710 EN HORMIGONES DE CONCEPCION (FALTA DE FINOS)
Px-617;COMPARACION HORMIGONES AUTOCOMPACTES v/s FLUIDOS TAMAÑO MAXIMO 13 MM.
Px-618;MORTEROS CON RETRACCION COMPENSADA PLANTA VIÑA DEL MAR - INLAC
Px-619;PAVIMENTO POROSO, EFECTO DE DIVERSAS VARIABLES
Px-620;CONTROL DE ADITIVOS CHRYSO-LAFARGE
Px-621;RECUPERACION MEZCLAS PARA REDESTINO HORMIGONES
Px-622;SHOTCRETE PARA METRO PUENTE ALTO
Px-623;EFECTO DE DISTINTAS GRAVILLAS DE RM : ST. LAURA – AGUA  SANTA - ARI2 – SOMINCA – TRANSEX – STA. GLORIA – CATEMITO – EL RINCON – PETREOS EL TREBAL – SAN JUAN (PTA. SAN ANTONIO)
Px-624;VALIDACION PRODUCTOS VAP ZONA SUR  RDC - PEGAMIX
Px-625;COMPARACION CEMENTOS RESISTENCIA A 1 AÑO – MELON PREMIX – MELON EXTRA – POLPAICO ESPECIAL (A GRANEL)
Px-626;AC25.0(90)13 PLANTA LA SERENA
Px-627;HORMIGONES DE PRUEBA PLANTA ACONCAGUA.
Px-628;HORMIGONES AUTOCOMPACTANTES – PREMIX LAFARGE
Px-629;HORMIGONES PLANTA PEÑALOLEN – ASPECTO VISUAL
Px-630;HORMIGONES PARA PLANTA PUENTE ALTO – ARIDOS BETONSERVICE v/s SANTA LAURA
Px-631;HORMIGONES COLOREADO CON PIGMENTO NEGRO BARCELONA Y CANCARB
Px-632;MORTERO COLOR PLANTA ANTOFAGASTA
Px-633;HORMIGON DE PRUEBA PLANTA SALAMANCA INCORPORACION DE GRAVILLA
Px-634;HORMIGONES CON ACELERANTE DE FRAGUADO
Px-635;EFECTO DE GRAVILLAS MAS FINAS EN LA RESISTENCIA DEL HORMIGON – ARIDOS SANTA LAURA
Px-636;HORMIGON BAJA RELACION AGUA/CEMENTO – MEDICION PERMEABILIDAD SEGUN DIN1048 Y ABSORCION ASTM C-642 – USO GLENIUM C330
Px-637;HORMIGON DE PRUEBA GRAVILLA  v/s RIN-XIN : LA SERENA
PX-638;COMP. ARENAS FINAS CURANADU v/s SILES.
PX-639;CEMENTO IMPORTADO v/s MELON
PX-640;HORMIGON ARQUITECTONICO
PX-641;AGILIA
PX-642;OPTIMIZACION PRODUCTO HF4,6(90)40/08  PLANTA PUENTE ALTO
PX-643;COMPARACION ARIDOS CONOVIA-COLINA V/S ARI 2
PX-644;GROUT PARA VIADUCTO LINEA 4 DEL METRO
PX-645;HORMIGONES DE PRUEBA PARA PILOTES, PLANTA LA LIGUA – FLUIDOS SIN SUPERPLASTIFICANTE
PX-646;EFECTO DE LA RELACION AGUA CEMENTO EN LA RESISTENCIA A COMP.DEL HORMIGON
PX-647;REEMPLAZO ARENA CURANADU FINA POR ARENA FINA MAQFRONT,EN HORMI.PTA.TEMUCO
PX-648;HORMIGON DE PRUEBA  ARIDOS R4  PARA PLANTA  SAN FERNANDO.
PX-649;HORMIGON HB22.59520/18-03 PARA SACYR CHILE OBRA ESTACION CERRO BLANCO TUNELES L2 RECOLETA
PX-650;HORMIGONES CON AIRE INCORPORADOS. ADITIVOS MICRO-AIR, HOSTACRETE
PX-651;REEMPLAZO ARENA CURANADU FINA POR ARENA FINA MAQ. FRONT EN HORMIGONES PLANTA TEMUCO
PX-652;MEZCLAS PARA PROYECTO METRO PTE.ALTO,PROYECTO V E I........
PX-653;MORTERO SOSTENIMIENTO TALUDES METRO SANTIAGO
PX-654;COMPARACION DE ARIDOS CARANDAY V/S RIN-SIX-LIN PARA PLANTA LA SERENA
PX-655;ALTA RESISTENCIAS A FLEXOTRACCION A EDAD TEMPRANA (SUPER FAST TRACK)
PX-656;AGUA  MAGNETIZADA
PX-657;DESARROLLO DE TEMPERATURA EN MEZCLAS PARA SHOCRETE, DIVERSOS CEMENTOS SHOTCRETE METRO RECOLETA SACYR CON MICROSILICE – USO REOMETRO TATTERSAL
PX-658;COMPARACION ARIDOS DOWLING V/S ARI 2 PARA PLANTA OSORNO
PX-659;COMPARACION ARIDOS PEDREGAL V/S CONFLUENCIA
