codigo;nombre
PX-046;EFECTO DEL CONTENIDO DE ARENA EN LA RESISTENCIA A COMPRESIÓN - CEMENTO MELÓN ESPECIAL: Tmáx=40,  20 mm: %TAMIZ N°4: 35%, 40%, 45%, 50%, 55%, 60%)
PX-047;ADITIVOS RETARDADORES PARA HORMIGONADO EN TIEMPO CALUROSO.
PX-048;HORMIGÓN COLOREADO - CERQUIM AMARILLO Y ROJO / SCOFIELD: ADOBE TAN,                        C15 – COACHELLA SAND
PX-049;HORMIGÓN DE PAVIMENTO CON FIBRA DRAMIX
PX-050;DISEÑO ALTERNATIVO A HF 4.8 A 28 DÍAS
PX-051;EFECTO DEL ADITIVO INCORPORADOR DE AIRE EN LA TRABAJABILIDAD Y RESISTENCIA MECÁNICA DEL HORMIGÓN
PX-052;MEZCLA DE ARENAS: CONOVIA / LAGUNA VERDE, SANTA LAURA / MARINA MORAGA, SANTA LAURA / ARIDOSMIL
PX-053;ADICIÓN DE NITRÓGENO LÍQUIDO AL HORMIGÓN – HORMIGONES CON TEMPERATURA 25°C, 20°C, 15°C, 10°C, 5°C
PX-054;HORMIGÓN CELULAR PLANTA CONCEPCIÓN:   ARENAS BIO BIO - BELFI
PX-055;HORMIGÓN CON GRAVILLA RODADA - MURO A LA VISTA NISSAN MARUBENI
PX-056;CONTROL DE PÉRDIDA DE CONO - DIVERSOS ADITIVOS
PX-057;HORMIGÓN CON ADITIVO PLASTIFICANTE HENKEL
PX-058;EMPLEO DE ÁRIDOS CHANCADOS DE ORIGEN GRANITO – PROYECTO MEGARIDOS
PX-059;HORMIGONES PLANTA VALPARAÍSO - RESISTENCIA A FLEXOTRACCIÓN MEZCLA CONOVIA / LAGUNA VERDE
PX-060;HORMIGONES PARA PAVIMENTO - RESISTENCIA A FLEXOTRACCIÓN
PX-061;RESISTENCIA A 14 HRS : 70 KGF/CM2 - OBRAS ZUBLIN
PX-062;MORTEROS CON AIRE INCORPORADO
PX-063;HORMIGONES PARA ARGENTINA
PX-064;HORMIGÓN ALTA RESISTENCIA - MAKRO GRAU HN45(80)20-03
PX-065;HORMIGONES ÁRIDOS PELUMPEN. COMPARACIÓN ÁRIDOS VIÑA - ÁRIDOS PELUMPEN
PX-066;HORMIGONES A EDAD TEMPRANA CON TIEMPO DE VIAJE LARGO
PX-067;HORMIGONES PARA VIGA DE PUENTE:  INLAC
PX-068;EFECTO DEL TAMAÑO MAXIMO DEL ARIDO EN LA RESISTENCIA DEL HORMIGON – BAJO MAIPO, SOMINCA
PX-069;VERIFICACION ADITIVO CM-1 HORMIGONES RANCAGUA
PX-070;DESARROLLO DE RESISTENCIAS EN TIEMPO FRIO
PX-071;DEMANDA DE AGUA LIBRE – ARIDOS SANTA LAURA
PX-072;DOSIFICACION CEMENTO MELON ESPECIAL Y EXTRA CON ARIDOS DE CONCEPCION
PX-073;COMPARACION DISTINTOS ADITIVOS PLASTIFICANTES
PX-074;HORMIGONES POBRES – ASPECTO Y RESISTENCIA MECANICA
PX-075;HORMIGONES FLEXOTRACCION – COMPARACION ARIDOS BAJO MAIPO v/s ARI-2
PX-076;MORTERO DE PEGA LADRILLOS (ARENA 3mm)  RESISTENCIA MECANICA Y MANTENCION DE TRABAJABILIDAD
PX-077;HORMIGON PARA VIGAS DE PUENTE – RESISTENCIA A TEMPRANA EDAD – PROBETAS CILINDRICAS
PX-078;HORMIGONES CON AIRE INCORPORADO
PX-079;HORMIGONES PARA PUNTA ARENAS – SENSIBILIDAD ADITIVO INCORPORADOR DE AIRE
PX-080;HORMIGONES LIVIANOS CON PERLAS
PX-081;HORMIGONES RESISTENCIA A 14 HRS. PARA ZÜBLIN
PX-082;HORMIGON HB15.0(80)13/15 ASPECTO PARA DIFERENTES COMBINACIONES DE GRAVILLA RODADA Y CHANCADA
PX-083;HORMIGONES PARA TEMUCO – EFECTO DE DISTINTAS COMBINACIONES DE ARENAS CHANCADA Y RODADA
PX-084;MANTENCION DE CONO – ADITIVO DELVO
PX-085;MORTERO LIVIANO – USO DE BETONCEL
PX-086;HORMIGON FLUIDO SIN ADITIVO SUPERPLASTIFICANTE
PX-087;HORMIGONES PARA PUNTA ARENAS – SENSIBILIDAD DOSIS DE CEMENTO
PX-088;ADITIVOS FESTER – COMPARACION CON VZ-020 Y CM1
PX-089;HORMIGONES A LA VISTA – ARIDO CANTO RODADO
PX-090;HORMIGONES PARA OSORNO – ARIDOS SOCOVESA VALDIVIA – SENSIBILIDAD DOSIS CEMENTO MELON EXTRA
PX-091;MORTERO LARGA VIDA – ARENA FIN 3 mm.- ADICION DE CAL
PX-092;COMPARACION HORMIGONES CON ARIDOS SANTA LAURA ARI-2 , ADITIVO CM1 ADIPLAST-21 Y CEMENTO MELON ESPECIAL POLPAICO ESPECIAL
PX-093;HORMIGON CON AIRE INCORPORADO – USO DE ADITIVO ADIPOR 481
PX-094;HORMIGON COLOREADO PIGMENTO CERQUIM
PX-095;HORMIGONES PLANTA ESPEJO ARENAS SOMINCA LEPANTO Y CARLOS TAPIA
PX-096;HORMIGON HN15.0(90)20/12-20H PARA VIGAS PREFABRICADAS
PX-097;ADITIVOS HE-91, HE-92, PLR, CM1-R Y ADIPLAST-21
PX-098;ADITIVO IMPERMEABILIZANTE EUROCRETE-1 EFECTO EN LA RESISTENCIA MECANICA DEL HORMIGON
PX-099;MANTENCION DE CONO – ADITIVO POLYHEED-RI Y POLYHEED-997
PX-100;HORMIGONES PARA MEJILLONES
Px-262;COMPARACION ADITIVOS: 100RI (PTA. FLORIDA), R-200, VZ-020, CM1, RECOVER
Px-263;HORMIGON COLOREADO HC20(90)20/06 PARA PLANTA OSORNO (CONF. EN OSORNO)
Px-264;HORMIGON COLOREADO AMARILLO HC18(80)20/08
Px-265;HORMIGON COLOREADO BC20(90)20/10 Y BC20(90)40/10 COLORES: 0,20% CAFÉ + 0,30% AMARILLO
Px-266;HORMIGONES PROYECTO RALCO – ARIDOS ALTIKON
Px-267;HORMIGONES  PUENTE  MAULE – ARIDOS PINOCHET (CONSTITUCION) Y RIVANO (RIO LIRCAY)
Px-268;HORMIGONES CON CEMENTO YURA
Px-269;EFECTO DEL CONTENIDO DE ARENA EN LA RESISTENCIA A FLEXOTRACCION
Px-270;COMPARACION ADITIVOS (VZ-020, 100RI, R-200 Y RECOVER), PARA USO EN HORMIGON CON TIEMPO DE TRANSPORTE MAYOR A 2 HORAS
Px-271;HORMIGON PAVIMENTO FAST TRACK  RESISTENCIA A 8 HORAS – USO ACELERANTE S-55 (MBT) Y GUNILITE-H (SGM) 
Px-272;COMBINACION ADITIVOS RECOVER Y WRDA-90 (GRACE) – COMPARACION CON VZ-020 Y CM1
Px-273;HORMIGON COLOREADO HN18(80)20/08, CEMENTO BLANCO Y PIGMENTOS BAYER AMARILLO, CAFÉ  Y  ROJO – CLUB DE TENIS HANS GILDEMAISTER
Px-274;HORMIGONES CON REEMPLAZO DE FINOS
Px-275;HORMIGON COLOREADO HN180(80)20/08, CON CEMENTO BLANCO Y PIGMENTOS BAYER AZUL-FR, AZUL-FG Y VERDE-GX – CLUB DE TENIS HANS GILDEMAISTER
Px-276;CONTRASTACION PRENSAS ENSAYO FLEXOTRACCION  DIVERSOS LABORATORIOS: INGENDESA, LEMUC, DECON Y PREMIX
Px-277;COMPARACION CEMENTO PREMIX v/s MEZCLA CEMENTO PTA. MAIPU (+ 1 AÑO EN SILO)
Px-278;HORMIGONES CON PIGMENTO AMARILLO
